Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
1103-Armstrong-INDEX-1.txt,1,3942,82.99,84.91,35.23,44.12,22.02,24.86,85.9,59.31,46.93,8.98,6.29,0.76,0.33,4.44,0.08,0.58,2.69,13.06,6.93,5.33,14.61,7.28,2.87,5.63,0.76,14,4.79,3.5,4.24,1.75,1.95,0.56,14.36,0.36,13.95,5.3,2.61,1.5,2.74,0.3,3.32,0.03,2.56,2.08,0.48,0.25,0.03,0.18,0,0,0,0,13.6,4.67,1.24,0.25,0.1,0.33,1.52,8.6,0.15,0.05,0.15,0.15,1.14,0.03,0,1.12,8.17,0.13,0.25,7.38,0.58,0.03,1.24,0.81,0.36,0.18,0,0,0.1,0.2,0.03,0.53,0.03,0.81,0.18,0.28,0,0.2,0.1,0.03,4.13,5.23,0.33,0.61,4.03,0.41,0,0.08,3.58,1.7,2.74,2.69,0.08,0.08,0,0,0,15.83,5.48,3.55,0.05,0.05,0.1,6.6,0
1103-Barstow-INDEX-2.txt,1,1958,89.94,61.6,19.76,26.95,11.19,21.5,79.72,47.8,37.54,5.16,3.12,0.2,0.1,2.45,0.05,0.26,2.04,11.24,6.89,13.33,11.59,5.87,1.63,4.85,0.66,10.52,5.41,3.52,1.99,0.46,0.92,0.61,9.7,0.77,8.89,3.63,1.74,0.72,1.69,0.15,2.04,0.1,1.53,1.02,0.51,0.31,0.05,0.2,0,0,0.15,0,7.41,3.22,0.36,0.51,0,0.51,1.33,3.98,0,0,0.15,0.05,1.07,0,0,1.07,8.84,0.1,0.41,8.17,0.31,0,0.61,0.31,0.1,0.1,0,0,0.05,0.2,0,0.2,0,0.72,0.31,0.15,0,0.31,0.1,0.26,3.06,5.82,0.51,0.82,4.14,0.26,0.05,0.1,3.37,1.02,2.55,1.53,0.2,0.2,0,0,0,127.37,10.32,4.34,0.2,0.2,0.05,112.26,0
1103-Beyette-INDEX-3.txt,1,2963,82.99,83.49,30.58,42.77,18.87,25.62,85.69,58.35,46.24,8.44,5.47,0.51,0.24,4.02,0,0.57,2.97,13.77,6.85,3.85,13.77,6.95,2.56,5.77,0.88,13.23,4.89,3.98,4.45,1.75,1.86,0.88,13.06,0.88,12.18,3.68,1.89,1.11,2.77,0.54,3.64,0.07,2.73,2.13,0.61,0.3,0.1,0.17,0.07,0.1,0,0,15.63,6.45,1.25,0.3,0.13,0.64,2.77,8.91,0,0.03,0,0,1.45,0,0,1.45,9.79,0.07,0.03,9.42,0.3,0.03,0.51,0.37,0.03,0.03,0.13,0.03,0,0.03,0,0.98,0.07,0.57,0.03,0.47,0,0.24,0.17,0.4,4.02,5.13,0.47,0.44,3.71,0.37,0.1,0.13,4.45,1.11,2.94,2.97,0.03,0.03,0,0,0,17.72,6.07,4.45,0.03,0.03,0.67,6.45,0
1103-Brickman-INDEX-4.txt,1,2582,83.12,77.56,16.62,49.89,23.47,27.15,81.76,49.61,39.54,7.13,4.84,0.54,1.12,2.29,0.23,0.58,2.29,10.3,5.31,8.87,12.28,6.27,2.09,4.92,1.08,11.58,3.95,2.36,5.73,2.63,2.17,1.08,10.84,0.89,9.95,2.79,1.47,1.24,2.52,0.39,2.87,0.04,3.1,2.52,0.58,0.31,0.12,0.15,0.04,0.08,0,0,13.28,5.11,1.78,0.46,0.12,0.35,1.7,7.78,0.04,0.19,0.12,0.35,1.32,0,0.04,1.28,9.3,0.23,0.12,8.87,0.31,0,2.63,1.98,0.77,0.04,0,0.19,0,0.43,0.04,1.24,0.04,0.58,0.04,0.19,0,0.27,0.23,0.35,3.6,5.31,0.5,0.66,3.8,0.46,0.08,0.12,3.6,1.01,2.29,1.9,0.27,0.27,0,0,0,19.33,6.24,3.52,0.23,0,0.46,8.87,0
1103-Lewis-Spring-2013-INDEX-8.txt,1,2493,73.43,85.81,23.17,35.6,21.87,26.35,85.12,57.84,45.81,9.03,5.98,0.08,0.92,4.41,0,0.48,3.05,11.67,5.42,5.46,13,8.54,2.09,5.98,1.08,14.72,5.29,3.21,4.73,1.48,2.21,1.12,13.4,0.8,12.52,3.49,1.97,1.48,2.77,0.36,3.89,0.12,2.65,1.85,0.76,0.28,0.04,0.12,0,0.08,0,0,14.64,5.78,0.84,0.56,0.16,0.84,1.85,8.5,0,0,0,0.04,1.89,0.04,0,1.85,10.39,0.08,0.04,9.83,0.6,0.04,0.72,0.44,0.24,0.08,0,0.04,0,0.12,0,0.8,0.04,0.72,0.04,0.44,0,0.76,0.2,0.48,4.05,4.77,0.48,0.44,3.33,0.28,0.04,0.24,4.33,1.85,2.97,2.97,0.12,0.08,0.04,0,0,17.69,5.13,3.49,0,0.12,0.04,8.9,0
1103-Said-Summer-2011-INDEX-11.txt,1,1228,91.98,64.14,20.6,39.17,17.3,29.4,81.84,47.15,37.05,4.56,2.77,0.24,0.16,2.04,0,0.33,1.79,12.13,6.92,9.36,12.05,6.35,1.3,4.23,0.57,10.59,5.78,3.09,1.71,0.16,0.57,0.98,8.96,0.73,8.22,2.44,2.12,0.9,1.95,0,2.12,0,1.47,1.38,0.08,0.33,0.33,0,0,0,0,0,9.12,3.91,0.33,0.16,0,0.33,1.47,4.8,0,0,0.08,0,1.63,0.16,0,1.47,14.33,0,0.33,13.76,0.33,0.08,0.57,0.24,0.08,0,0,0,0,0.16,0.08,1.3,0,0.33,0.16,0.33,0,0,0,0.16,2.44,4.32,0.24,0.41,3.58,0.16,0,0,5.7,1.87,3.26,2.44,0,0,0,0,0,30.54,8.39,4.97,0.16,0,0.73,16.29,0
1103E-Richards-INDEX-5.txt,1,2246,85.08,67.93,29.69,41.95,20.61,28.45,83.17,57.88,45.64,7.88,5.03,1.02,0.27,3.52,0,0.13,2.85,12.96,6.5,3.92,14.29,6.5,2.4,6.01,0.85,11.75,5.43,3.83,3.74,0.98,2.09,0.67,11.8,0.85,10.95,3.65,1.96,0.93,2.58,0.18,2.85,0.09,2.63,2.05,0.58,0.45,0.09,0.36,0,0.09,0,0,12.6,6.54,0.98,0.4,0.13,0.58,3.29,5.7,0,0.09,0,0,2.4,0,0,2.4,8.33,0.09,0.09,7.84,0.31,0.04,0.45,0.22,0.13,0.04,0,0.04,0,0.13,0,0.85,0.09,0.53,0.04,0.49,0,0.4,0.18,0.85,3.96,5.21,0.45,0.53,3.74,0.36,0.09,0.04,4.32,1.34,2.27,2.58,0.27,0.27,0,0,0,18.39,5.57,3.83,0,0,0.36,8.64,0
1103L-Armstrong-2010-INDEX-6.txt,1,2100,90.35,65.6,24.86,27.82,22.83,25.14,77.24,49.38,39.52,6,3.76,0.29,0.19,2.62,0.05,0.33,2.24,12.86,7.14,8.19,12.81,5.67,2.05,5,0.62,9.76,4.48,3.57,3.19,0.33,1.95,0.9,10.67,0.95,9.62,2.43,2.43,0.62,2.62,0.48,3.05,0,1.14,0.86,0.29,0.1,0.05,0,0,0,0,0,9.71,4.1,0.33,0.38,0.1,0.95,1.33,5.48,0,0.05,0.14,0.05,0.67,0,0,0.67,9.33,0.14,0.43,8.38,0.48,0.05,0.76,0.33,0.24,0,0,0,0,0.29,0,0.19,0.05,0.86,0.52,0.57,0,0.38,0.14,0.38,3.19,5.33,0.1,0.57,4.29,0.38,0,0,4.43,1.9,2.48,1.62,0,0,0,0,0,22.52,4.95,3.95,0.05,0.19,0.29,13.1,0
1103L-Barstow-2009-INDEX-7.txt,1,2139,90.51,65.94,27.75,28.34,19.45,25.39,76.53,49.42,39.55,6.03,3.83,0.28,0.19,2.71,0.05,0.33,2.2,12.9,7.01,7.62,12.95,5.61,2.01,4.91,0.65,9.77,4.53,3.69,3.09,0.33,1.87,0.89,10.52,0.94,9.49,2.38,2.38,0.61,2.52,0.47,3.04,0,1.17,0.89,0.28,0.09,0.05,0,0,0,0,0,9.77,4.11,0.33,0.37,0.09,0.94,1.36,5.47,0,0.05,0.14,0.05,0.65,0,0,0.65,9.3,0.05,0.42,8.46,0.47,0.05,0.7,0.33,0.23,0,0,0,0,0.23,0,0.19,0.05,0.84,0.51,0.56,0,0.37,0.14,0.37,3.18,5.52,0.09,0.7,4.39,0.37,0,0,4.72,1.87,2.43,1.59,0,0,0,0,0,22.35,5.7,3.88,0.05,0.19,0.33,12.2,0
1103L-Martin-2021-INDEX-9.txt,1,2395,89.4,65.41,21.98,39.03,25.21,27.85,78.66,51.52,39.54,4.76,3.22,0.17,0.71,2.09,0,0.17,1.54,10.81,6.64,5.93,12.99,7.14,1.34,5.8,0.67,12.53,4.59,3.26,3.59,1.29,1.46,0.88,11.44,0.58,10.86,2.46,2.3,1.25,2.84,0.54,3.09,0,1.96,1.63,0.33,0.17,0.04,0.13,0.08,0.04,0,0,11.27,5.72,1.13,0.5,0.13,0.58,2.34,5.43,0,0,0,0.25,0.88,0.04,0,0.84,9.81,0.04,0.13,9.48,0.25,0,1.88,0.67,0.21,0.08,0.17,0,0,0.46,0.04,1.09,0.04,0.54,0.67,0.17,0,0.29,0.21,0.63,2.71,6.22,0.17,0.46,5.26,0.25,0.04,0,3.67,1.59,2.38,2.46,0.33,0.33,0.04,0,0,16.87,4.18,2.13,0.04,0.04,0.33,10.15,0
