Index,Department_Code,Course_Number,Course_Number_Suffix,Year,Semester,Lead_Instructor,Class Size,Seats Avl,% Filled,Major Requirement
4,BIOL,1103,,2021,Spring,Brickman,275,0,1,No
9,BIOL,1103,L,2021,,Martin,24,0,1,No
12,BIOL,1104,,2017,Spring,Andrews,215,11,0.948837209,No
15,BIOL,1104,L,2021,Spring,Martin,20,1,0.95,No
17,BIOL,1104,,2022,Spring,Meyers,175,13,0.925714286,No
18,BIOL,1107,,2021,Fall,Armstrong,200,8,0.96,Yes
20,BIOL,1107,,2021,Fall,Dees,200,0,1,Yes
21,BIOL,1107,,2021,Spring,McEachern,180,86,0.522222222,Yes
22,BIOL,1107,,2021,Spring,Moore,180,23,0.872222222,Yes
23,BIOL,1107,L,2021,Spring,Martin,24,0,1,Yes
26,BIOL,1108,,2021,Spring,Barb,165,5,0.96969697,Yes
27,BIOL,1108,,2022,Spring,Dolan,140,2,0.985714286,Yes
28,BIOL,1108,,2022,Fall,Farmer,72,3,0.958333333,Yes
30,BIOL,1108,,2016,Fall,Dye,115,6,0.947826087,Yes
31,BIOL,1108,L,2021,Spring,Martin,24,0,1,Yes
32,BIOL,1108,,2020,Fall,Pucko,170,1,0.994117647,Yes
34,BIOL,1108,,2018,Fall,Trapnell,220,0,1,Yes
38,BIOL,1990,,2021,Spring,Farmer,82,66,0.195121951,No
39,ENTO,2010,,2022,Spring,Burke,200,,1,No
40,ENTO,2010,,2022,Fall,Guillebeau,200,,1,No
43,BIOL,2103,H,2021,Spring,Beyette,23,15,0.347826087,No
45,BIOL,2107,H,2021,Spring,Andrews,72,8,0.888888889,Substitute
47,BIOL,2107,H,2017,Fall,Darvil,72,8,0.888888889,Substitute
48,BIOL,2107,H,2019,Fall,Darvil,72,26,0.638888889,Substitute
49,BIOL,2108,H,2020,Spring,Andrews,72,23,0.680555556,Substitute
50,BIOL,2108,H,2017,Fall,Binder,72,1,0.986111111,Substitute
53,BIOL,2108,H,2020,Fall,Wyatt,72,20,0.722222222,Substitute
56,CBIO,3000,,2018,Fall,Safer,56,2,0.964285714,
58,CBIO,3000,,2015,Spring,Williams,112,18,0.839285714,
60,GENE,3000,,2017,Fall,Andrews,180,75,0.583333333,Yes
63,GENE,3000,,2021,Spring,Hunt,12,9,0.25,Yes
64,GENE,3000,,2020,Fall,Mauricio,175,30,0.828571429,Yes
68,PMCY,3000,,2022,Fall,Momany,110,23,0.790909091,
69,CBIO,3010,,2018,Fall,Nichols,87,0,1,
70,PATH,3010,,2021,Spring,Brewer,406,1,0.997536946,
72,BCMB,3100,,2021,Fall,Dolan,44,0,1,Yes
73,BCMB,3100,,2022,Fall,Lee,49,,1,Yes
74,BCMB,3100,,2020,Fall,Lemons,190,-5,1.026315789,Yes
75,BCMB,3100,,2022,Fall,Mohnen,125,,1,Yes
