duplicate,remove,Index
no,no,1
no,no,2
no,no,3
no,no,4
no,no,5
yes,yes,6
yes,no,7
yes,no,8
no,yes,9
no,yes,10
no,no,11
no,no,12
no,no,13
yes,yes,14
no,no,15
no,no,16
no,no,17
no,no,18
no,no,19
no,no,20
no,no,21
no,no,22
no,yes,23
yes,yes,24
yes,yes,25
no,no,26
no,no,27
no,no,28
no,no,29
no,no,30
no,yes,31
no,no,32
no,no,33
no,no,34
yes,yes,35
yes,yes,36
yes,no,37
no,no,38
no,no,39
no,no,40
no,no,41
no,no,42
no,no,43
no,no,44
no,no,45
no,no,46
yes,yes,47
yes,no,48
no,no,49
no,no,50
no,no,51
no,no,52
no,no,53
no,no,54
no,no,55
no,no,56
no,no,57
no,no,58
no,no,59
no,no,60
no,no,61
no,no,62
no,no,63
no,no,64
yes,yes,65
yes,yes,66
yes,no,67
no,no,68
no,no,69
no,no,70
no,no,71
no,yes,72
no,no,73
no,no,74
no,no,75
no,no,76
no,no,77
no,no,78
no,no,79
no,no,80
no,no,81
no,no,82
no,no,83
no,no,84
no,no,85
no,no,86
no,no,87
no,no,88
no,yes,89
no,no,90
no,no,91
no,no,92
maybe,no,93
maybe,no,94
no,no,95
no,no,96
no,no,97
no,no,98
no,no,99
no,no,100
no,no,101
no,no,102
no,no,103
no,no,104
no,no,105
no,no,106
no,no,107
no,no,108
no,no,109
no,no,110
no,no,111
no,no,112
no,no,113
no,no,114
no,no,115
no,no,116
no,no,117
no,no,118
no,no,119
yes,yes,120
yes,no,121
no,no,122
no,no,123
no,no,124
no,no,125
no,no,126
no,no,127
no,no,128
no,no,129
no,yes,130
no,no,131
no,no,132
no,no,133
no,no,134
no,no,135
no,no,136
no,no,137
no,no,138
no,no,139
no,no,140
no,no,141
no,no,142
no,no,143
no,no,144
no,no,145
no,no,146
np,no,147
no,no,148
no,no,149
no,no,150
no,no,151
no,no,152
no,no,153
no,no,154
no,no,155
yes,yes,156
no,no,157
no,no,158
no,no,159
yes,yes,160
no,yes,161
yes,no,162
yes,yes,163
yes,yes,164
no,no,165
no,no,166
no,no,167
no,no,168
yes,yes,169
yes,no,170
yes,yes,171
no,no,172
no,no,173
no,no,174
no,no,175
no,no,176
no,no,177
no,no,178
no,no,179
no,no,180
no,no,181
yes,yes,182
yes,no,183
no,no,184
no,no,185
no,no,186
yes,yes,187
yes,no,188
yes,yes,189
yes,yes,190
yes,no,191
maybe,no,192
maybe,no,193
no,no,194
no,no,195
no,no,196
no,no,197
no,no,198
no,no,199
no,no,200
no,no,201
no,no,202
no,no,203
no,no,204
no,no,205
no,no,206
no,no,207
no,no,208
no,no,209
no,no,210
no,no,211
no,no,212
no,yes,213
no,no,214
yes,no,215
yes,yes,216
yes,yes,217
yes,yes,218
yes,yes,219
no,no,220
no,no,221
no,no,222
no,no,223
no,no,224
no,no,225
no,no,226
no,no,227
no,no,228
no,no,229
no,no,230
no,yes,231
no,no,232
no,no,233
no,no,234
no,no,235
no,no,236
no,no,237
no,no,238
no,no,239
no,no,240
no,no,241
no,no,242
no,no,243
no,no,244
no,no,245
no,no,246
no,no,247
no,no,248
no,no,249
no,yes,250
no,no,251
no,no,252
no,no,253
no,no,254
no,no,255
no,no,256
no,no,257
no,no,258
no,no,259
no,no,260
no,no,261
no,no,262
yes,no,263
no,no,264
no,no,265
yes,yes,266
no,no,267
yes,no,268
yes,yes,269
yes,no,270
no,no,271
no,no,272
yes,yes,273
yes,yes,274
no,no,275
yes,yes,276
no,no,277
no,no,278
no,no,279
no,no,280
no,no,281
no,no,282
no,no,283
no,no,284
no,no,285
yes,yes,286
yes,no,287
no,no,288
no,no,289
no,no,290
no,no,291
no,no,292
no,no,293
yes,yes,294
yes,no,295
no,no,296
no,no,297
no,no,298
no,no,299
no,no,300
no,no,301
no,no,302
no,no,303
no,no,304
no,no,305
no,no,306
no,no,307
no,no,308
no,no,309
no,no,310
no,no,311
yes,yes,312
yes,yes,313
yes,no,314
no,no,315
no,no,316
no,no,317
yes,no,318
yes,yes,319
yes,yes,320
yes,yes,321
yes,yes,322
no,no,323
no,no,324
no,no,325
no,no,326
no,no,327
no,no,328
no,no,329
no,no,330
yes,no,331
yes,yes,332
no,no,333
no,no,334
no,no,335
no,no,336
no,no,337
no,no,338
yes,no,339
yes,yes,340
no,no,341
no,no,342
no,no,343
no,no,344
no,no,345
no,no,346
no,no,347
no,no,348
no,no,349
no,no,350
no,no,351
no,no,352
no,no,353
no,no,354
no,no,355
no,no,356
