"","Index","Department_Code","Course_Number","Division","Course_Number_Suffix","Year","Semester","Last Name","Other_Instructors","Learning_Outcomes_Present","Learning_Outcome_File","DEI_Statement_Present","DEI_Statement_File","Exam_Grade_Prop","Quiz_Grade_Prop","Participation_Grade_Prop","Project/Assignment_Grade_Prop","Other_Grade_Prop","Other_Grade_Description","Grading_Present","Grading_File","Attend_Present","Attend_File","Notes","GradeTone1","GradeTone1scale","GradeTone2","GradeTone2scale","AttendTone1","AttendTone1scale","AttendTone2","AttendTone2scale","Lead_Instructor","Lead_Rank","Other_Rank","Class Size","AttendPolarity","AttendSubjectivity","GradingPolarity","GradingSubjectivity","Grade_Segment","Grade_WC","Grade_Analytic","Grade_Clout","Grade_Authentic","Grade_Tone","Grade_WPS","Grade_BigWords","Grade_Dic","Grade_Linguistic","Grade_function","Grade_pronoun","Grade_ppron","Grade_i","Grade_we","Grade_you","Grade_shehe","Grade_they","Grade_ipron","Grade_det","Grade_article","Grade_number","Grade_prep","Grade_auxverb","Grade_adverb","Grade_conj","Grade_negate","Grade_verb","Grade_adj","Grade_quantity","Grade_Drives","Grade_affiliation","Grade_achieve","Grade_power","Grade_Cognition","Grade_allnone","Grade_cogproc","Grade_insight","Grade_cause","Grade_discrep","Grade_tentat","Grade_certitude","Grade_differ","Grade_memory","Grade_Affect","Grade_tone_pos","Grade_tone_neg","Grade_emotion","Grade_emo_pos","Grade_emo_neg","Grade_emo_anx","Grade_emo_anger","Grade_emo_sad","Grade_swear","Grade_Social","Grade_socbehav","Grade_prosocial","Grade_polite","Grade_conflict","Grade_moral","Grade_comm","Grade_socrefs","Grade_family","Grade_friend","Grade_female","Grade_male","Grade_Culture","Grade_politic","Grade_ethnicity","Grade_tech","Grade_Lifestyle","Grade_leisure","Grade_home","Grade_work","Grade_money","Grade_relig","Grade_Physical","Grade_health","Grade_illness","Grade_wellness","Grade_mental","Grade_substances","Grade_sexual","Grade_food","Grade_death","Grade_need","Grade_want","Grade_acquire","Grade_lack","Grade_fulfill","Grade_fatigue","Grade_reward","Grade_risk","Grade_curiosity","Grade_allure","Grade_Perception","Grade_attention","Grade_motion","Grade_space","Grade_visual","Grade_auditory","Grade_feeling","Grade_time","Grade_focuspast","Grade_focuspresent","Grade_focusfuture","Grade_Conversation","Grade_netspeak","Grade_assent","Grade_nonflu","Grade_filler","Grade_AllPunc","Grade_Period","Grade_Comma","Grade_QMark","Grade_Exclam","Grade_Apostro","Grade_OtherP","Grade_Emoji","Attend_Segment","Attend_WC","Attend_Analytic","Attend_Clout","Attend_Authentic","Attend_Tone","Attend_WPS","Attend_BigWords","Attend_Dic","Attend_Linguistic","Attend_function","Attend_pronoun","Attend_ppron","Attend_i","Attend_we","Attend_you","Attend_shehe","Attend_they","Attend_ipron","Attend_det","Attend_article","Attend_number","Attend_prep","Attend_auxverb","Attend_adverb","Attend_conj","Attend_negate","Attend_verb","Attend_adj","Attend_quantity","Attend_Drives","Attend_affiliation","Attend_achieve","Attend_power","Attend_Cognition","Attend_allnone","Attend_cogproc","Attend_insight","Attend_cause","Attend_discrep","Attend_tentat","Attend_certitude","Attend_differ","Attend_memory","Attend_Affect","Attend_tone_pos","Attend_tone_neg","Attend_emotion","Attend_emo_pos","Attend_emo_neg","Attend_emo_anx","Attend_emo_anger","Attend_emo_sad","Attend_swear","Attend_Social","Attend_socbehav","Attend_prosocial","Attend_polite","Attend_conflict","Attend_moral","Attend_comm","Attend_socrefs","Attend_family","Attend_friend","Attend_female","Attend_male","Attend_Culture","Attend_politic","Attend_ethnicity","Attend_tech","Attend_Lifestyle","Attend_leisure","Attend_home","Attend_work","Attend_money","Attend_relig","Attend_Physical","Attend_health","Attend_illness","Attend_wellness","Attend_mental","Attend_substances","Attend_sexual","Attend_food","Attend_death","Attend_need","Attend_want","Attend_acquire","Attend_lack","Attend_fulfill","Attend_fatigue","Attend_reward","Attend_risk","Attend_curiosity","Attend_allure","Attend_Perception","Attend_attention","Attend_motion","Attend_space","Attend_visual","Attend_auditory","Attend_feeling","Attend_time","Attend_focuspast","Attend_focuspresent","Attend_focusfuture","Attend_Conversation","Attend_netspeak","Attend_assent","Attend_nonflu","Attend_filler","Attend_AllPunc","Attend_Period","Attend_Comma","Attend_QMark","Attend_Exclam","Attend_Apostro","Attend_OtherP","Attend_Emoji"
"1",1,"BIOL","1103","lower",NA,2011,"Spring","Armstrong",NA,"Yes","1-LO.txt","No",NA,0.6,0,0.06,0.34,0,NA,"Yes","1-Grading.txt","Yes","1-Attend.txt",NA,"informative",5,"encouraging",4,"informative",5,"friendly",4,"Armstrong",NA,NA,320,0.25,0.288461538,0.085286132,0.47338137,1,442,77.58,88.09,46.57,51.6,20.09,23.08,91.4,66.97,54.75,11.31,8.6,1.58,0.45,5.88,0,0.45,2.71,14.93,8.37,0.68,16.74,9.05,3.62,6.56,1.13,14.48,5.88,3.62,4.07,1.13,2.49,0.45,14.71,0.45,14.25,3.85,1.81,2.26,3.85,0.45,3.85,0,3.39,2.71,0.68,0.23,0,0,0,0,0,0,14.93,4.75,0.68,0,0.23,0.68,2.71,9.73,0,0,0,0,0.68,0.23,0,0.45,10.18,0,0,9.95,0.23,0,0.45,0.45,0.23,0,0,0,0,0,0,0.9,0,0.23,0.68,0.9,0,0.23,0.23,0,4.75,6.79,0.68,0.9,4.98,0.23,0,0.23,4.75,1.58,4.07,2.94,0.23,0.23,0,0,0,8.82,4.98,2.26,0,0,0,1.58,0,1,60,80.96,98.75,39.59,20.23,15,20,91.67,66.67,51.67,13.33,10,0,0,10,0,0,3.33,10,3.33,0,20,5,3.33,6.67,0,18.33,1.67,3.33,1.67,0,1.67,0,13.33,0,13.33,1.67,3.33,1.67,3.33,0,5,0,0,0,0,0,0,0,0,0,0,0,15,3.33,3.33,3.33,0,0,0,11.67,0,0,0,0,6.67,0,0,6.67,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1.67,0,1.67,0,0,0,0,0,0,11.67,13.33,1.67,0,10,1.67,0,0,1.67,1.67,0,1.67,0,0,0,0,0,16.67,6.67,6.67,0,0,0,3.33,0
"2",2,"BIOL","1103","lower",NA,2013,"Fall","Barstow",NA,"Yes","2-LO.txt","No",NA,1,0,0,0,0,NA,"Yes","2-Grading.txt","Yes","2-Attend.txt",NA,"formal",5,NA,NA,"informative",5,"formal",4,"Barstow",NA,NA,320,0.16375,0.57375,0.076190476,0.651410935,1,264,89.52,49.07,58.59,36.46,20.31,14.39,89.77,71.21,57.58,6.44,4.55,0,0,3.79,0,0.38,1.89,19.32,10.61,1.89,17.42,10.61,2.65,6.06,2.27,15.15,9.47,7.58,2.65,0,2.27,0.38,13.64,1.89,11.36,2.65,1.52,1.52,1.89,0.76,4.92,0,1.89,1.52,0.38,0.38,0,0,0,0,0,0,5.3,0.38,0,0,0,0,0,4.92,0,0,0,0,0,0,0,0,10.23,0,0,10.23,0.38,0,0.38,0.38,0.38,0,0,0,0,0,0,0,0,0.76,1.52,0.38,0,0.76,0.38,0,3.41,10.61,0,0.76,9.09,0.38,0,0.38,3.41,4.55,3.41,3.03,0,0,0,0,0,9.09,4.92,2.65,0,0,0,1.52,0,1,110,94.5,76.03,63.35,32.87,13.75,25.45,88.18,63.64,50,6.36,3.64,0,0,3.64,0,0,2.73,17.27,10,1.82,16.36,7.27,0.91,7.27,0,14.55,5.45,5.45,0.91,0,0.91,0,10.91,2.73,8.18,3.64,2.73,0.91,0,0,0.91,0,0.91,0.91,0,0,0,0,0,0,0,0,7.27,3.64,0.91,0.91,0,0,2.73,3.64,0,0,0,0,0,0,0,0,14.55,0,0,14.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91,0,0,0,0,0.91,0,3.64,9.09,0,2.73,7.27,0,0,0,6.36,0.91,4.55,0.91,0,0,0,0,0,8.18,7.27,0,0,0,0,0.91,0
"3",3,"BIOL","1103","lower",NA,NA,"Fall","Beyette",NA,"Yes","3-LO.txt","No",NA,0.35,0.1,0.15,0.15,0,NA,"Yes","3-Grading.txt","Yes","3-Attend.txt",NA,"direct",5,"cooperative",5,"informative",5,NA,NA,"Beyette","ACADEMIC PROFESSIONAL AC",NA,NA,0.00625,0.391666667,-0.12,0.79,1,30,59.67,40.06,39.59,97.84,15,16.67,93.33,76.67,56.67,13.33,0,0,0,0,0,0,13.33,20,6.67,3.33,13.33,16.67,3.33,0,0,16.67,6.67,10,0,0,0,0,6.67,6.67,0,0,0,0,0,0,0,0,6.67,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,0,0,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,0,0,0,0,0,0,3.33,3.33,0,0,3.33,0,0,0,13.33,0,10,3.33,0,0,0,0,0,10,6.67,0,0,0,0,3.33,0,1,93,94.3,93.68,6.29,35.47,23.25,24.73,87.1,64.52,51.61,7.53,4.3,0,0,4.3,0,0,3.23,18.28,7.53,3.23,19.35,7.53,2.15,5.38,0,12.9,4.3,7.53,1.08,0,1.08,0,6.45,0,6.45,0,2.15,2.15,1.08,0,0,0,1.08,1.08,0,0,0,0,0,0,0,0,15.05,7.53,0,0,0,0,5.38,7.53,0,0,0,0,2.15,0,0,2.15,4.3,0,0,3.23,1.08,0,0,0,0,0,0,0,0,0,0,1.08,0,0,0,2.15,0,1.08,0,0,0,4.3,1.08,0,3.23,0,0,0,8.6,2.15,4.3,5.38,0,0,0,0,0,11.83,4.3,3.23,0,0,0,4.3,0
"4",4,"BIOL","1103","lower",NA,2021,"Spring","Brickman","Lewis","Yes","4-LO.txt","Yes","4-DEI.txt",0.48,0,0.1,0.42,0,NA,"No",NA,"Yes","4-Attend.txt",NA,NA,NA,NA,NA,"direct",5,"confindent",4,"Brickman","PROFESSOR","ASSOCIATE PROFESSOR",275,0.209375,0.520833333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,103,74.76,96.34,31.95,10.58,25.75,23.3,88.35,60.19,49.51,8.74,5.83,0,1.94,3.88,0,0,2.91,10.68,2.91,4.85,16.5,10.68,3.88,2.91,0.97,18.45,3.88,1.94,4.85,1.94,0.97,1.94,17.48,3.88,13.59,3.88,1.94,2.91,5.83,0.97,0.97,0,0.97,0,0.97,0,0,0,0,0,0,0,12.62,2.91,0,0,0,0,1.94,9.71,0,0,0,0,0.97,0,0,0.97,7.77,0,0,6.8,0.97,0,0.97,0.97,0.97,0,0,0,0,0,0,0.97,0,0.97,0,0,0,0,0,0,2.91,2.91,0,0,2.91,0,0,0,10.68,0.97,1.94,5.83,0,0,0,0,0,18.45,3.88,4.85,0,0,0,9.71,0
"5",5,"BIOL","1103","lower","E",NA,NA,"Richards",NA,"Yes","5-LO.txt","No",NA,0,0.25,0.25,0.5,0,NA,"Yes","5-Grading.txt","Yes","5-Attend.txt",NA,"informative",5,NA,NA,"informative",5,NA,NA,"Richards",NA,NA,NA,0.00625,0.391666667,-0.12,0.47,1,88,84.07,60.34,15.38,36.46,22,27.27,88.64,65.91,50,7.95,4.55,0,0,3.41,0,1.14,3.41,13.64,9.09,1.14,13.64,9.09,3.41,5.68,0,14.77,3.41,7.95,4.55,0,4.55,0,14.77,2.27,12.5,4.55,2.27,1.14,4.55,0,4.55,0,3.41,2.27,1.14,0,0,0,0,0,0,0,15.91,10.23,1.14,0,0,2.27,6.82,4.55,0,0,0,0,2.27,0,0,2.27,10.23,0,0,10.23,0,0,0,0,0,0,0,0,0,0,0,2.27,0,1.14,0,0,0,0,0,0,7.95,1.14,0,0,1.14,0,0,0,3.41,2.27,3.41,3.41,0,0,0,0,0,11.36,4.55,2.27,0,0,1.14,3.41,0,1,119,92.59,89.73,12.44,31.82,23.8,23.53,85.71,63.87,53.78,9.24,5.88,0.84,0,5.04,0,0,3.36,18.49,8.4,2.52,18.49,6.72,2.52,5.04,0.84,10.92,3.36,6.72,0.84,0,0.84,0,6.72,0,6.72,0.84,1.68,1.68,0.84,0,0.84,0,0.84,0.84,0,0,0,0,0,0,0,0,14.29,6.72,0,0,0,0,5.04,7.56,0,0,0,0,1.68,0,0,1.68,5.04,0,0,4.2,0.84,0,0,0,0,0,0,0,0,0,0,0.84,0,0,0,1.68,0,0.84,0,0,0,4.2,0.84,0,3.36,0,0,0,7.56,1.68,4.2,4.2,0,0,0,0,0,10.92,4.2,3.36,0,0,0,3.36,0
"6",6,"BIOL","1103","lower","L",2010,NA,"Armstrong","Miller","No",NA,"No",NA,0,0,0,1,0,NA,"Yes","6-Grading.txt","Yes","6-Attend.txt",NA,"informative",5,NA,NA,"informative",5,"neutral",5,"Armstrong",NA,NA,19,0.015555556,0.288333333,0.041666667,0.30462963,1,209,96.65,75.35,15.12,26.49,23.22,20.57,89.47,65.07,53.59,6.22,6.22,0.48,0,2.39,0,1.44,0,18.18,11,1.44,19.62,7.66,1.91,5.74,1.44,14.83,2.87,4.78,4.78,0,2.87,1.91,11.48,2.39,9.09,1.44,2.39,3.35,2.39,1.91,1.91,0,2.39,1.44,0.96,0.96,0.48,0,0,0,0,0,11.96,4.31,0,0.48,0.96,0,1.44,7.66,0,0,0,0,0,0,0,0,11.48,0,0,10.53,0.96,0,0.48,0.48,0.48,0,0,0,0,0,0,0,0.48,0.96,1.44,1.44,0,0.96,0.96,0,5.26,6.22,0.48,0.96,4.78,0,0,0,6.22,5.74,0.96,2.39,0,0,0,0,0,10.05,4.31,3.35,0,0,0,2.39,0,1,451,85.4,55.93,48.84,20.23,26.53,21.51,83.37,66.52,52.33,8.2,4.66,0,0,4.21,0,0,3.55,19.51,10.2,2.44,13.53,7.54,2.88,6.87,0.89,12.42,6.43,7.98,2,0,0.89,1.11,15.08,0.89,13.75,0.89,4.43,0,4.66,0,6.65,0,0,0,0,0,0,0,0,0,0,0,12.42,5.99,0.22,0.22,0,2.88,0.22,5.99,0,0,0,0,0,0,0,0,5.99,0,0.22,5.32,0.67,0,0,0,0,0,0,0,0,0,0,0.22,0,1.33,1.11,0.89,0,0,0,0,3.55,4.88,0,1.11,3.55,0.22,0,0,5.76,2.44,2.66,2.88,0,0,0,0,0,10.42,4.21,2.66,0,0,0.22,3.33,0
"7",7,"BIOL","1103","lower","L",2009,NA,"Barstow","Miller","No",NA,"No",NA,0,0,0,1,0,NA,"Yes","7-Grading.txt","Yes","7-Attend.txt",NA,"informative",5,NA,NA,"informative",5,"neutral",5,"Barstow",NA,NA,19,0.015555556,0.288333333,0.041666667,0.30462963,1,209,96.65,75.35,15.12,26.49,23.22,20.57,89.47,65.07,53.59,6.22,6.22,0.48,0,2.39,0,1.44,0,18.18,11,1.44,19.62,7.66,1.91,5.74,1.44,14.83,2.87,4.78,4.78,0,2.87,1.91,11.48,2.39,9.09,1.44,2.39,3.35,2.39,1.91,1.91,0,2.39,1.44,0.96,0.96,0.48,0,0,0,0,0,11.96,4.31,0,0.48,0.96,0,1.44,7.66,0,0,0,0,0,0,0,0,11.48,0,0,10.53,0.96,0,0.48,0.48,0.48,0,0,0,0,0,0,0,0.48,0.96,1.44,1.44,0,0.96,0.96,0,5.26,6.22,0.48,0.96,4.78,0,0,0,6.22,5.74,0.96,2.39,0,0,0,0,0,10.05,4.31,3.35,0,0,0,2.39,0,1,451,85.4,55.93,48.84,20.23,26.53,21.51,83.37,66.52,52.33,8.2,4.66,0,0,4.21,0,0,3.55,19.51,10.2,2.44,13.53,7.54,2.88,6.87,0.89,12.42,6.43,7.98,2,0,0.89,1.11,15.08,0.89,13.75,0.89,4.43,0,4.66,0,6.65,0,0,0,0,0,0,0,0,0,0,0,12.42,5.99,0.22,0.22,0,2.88,0.22,5.99,0,0,0,0,0,0,0,0,5.99,0,0.22,5.32,0.67,0,0,0,0,0,0,0,0,0,0,0.22,0,1.33,1.11,0.89,0,0,0,0,3.55,4.88,0,1.11,3.55,0.22,0,0,5.76,2.44,2.66,2.88,0,0,0,0,0,10.42,4.21,2.66,0,0,0.22,3.33,0
"8",8,"BIOL","1103","lower",NA,2013,"Spring","Lewis","Kukday","Yes","8-LO.txt","No",NA,0.4,0,0,0.6,0,NA,"Yes","8-Grading.txt","No",NA,NA,"informative",5,"formal",5,NA,NA,NA,NA,"Lewis",NA,NA,320,NA,NA,0.042777778,0.441031746,1,275,63.53,75.17,25.81,54.09,21.15,25.82,89.45,68.36,54.18,10.18,6.55,0,1.09,4,0,1.45,3.64,15.27,7.64,1.09,13.45,12,4,5.45,1.45,20,4.36,5.09,5.09,1.09,2.18,2.18,16.73,1.82,14.91,2.55,2.18,3.64,3.27,1.09,5.82,0,3.27,2.55,0.36,1.09,0.36,0,0,0,0,0,16,7.27,0.36,2.18,0,1.09,1.09,8.36,0,0,0,0,0.36,0,0,0.36,12.36,0,0,11.64,1.45,0,0.36,0.36,0.36,0,0,0,0,0,0,0.73,0.36,1.09,0,0.36,0,2.55,0,0,5.45,6.18,0.36,0.36,4.36,0.36,0,0.73,5.09,5.09,4.36,1.82,0.36,0.36,0,0,0,7.64,4.73,1.82,0,0,0,1.09,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,"BIOL","1103","lower","L",2021,NA,"Martin",NA,"Maybe","9-LO.txt","No",NA,0,0,0,1,0,NA,"Yes","9-Grading.txt","Yes","9-Attend.txt",NA,"direct",5,"formal",4,"informative",5,NA,NA,"Martin","LABORATORY PROFESSIONAL AD",NA,24,0.011485507,0.298478261,-0.15,0.133333333,1,50,98.41,74.29,35.01,4.56,25,22,94,72,58,4,4,0,0,4,0,0,0,20,12,2,24,10,4,4,2,18,2,6,0,0,0,0,14,2,12,2,4,4,2,4,0,0,2,0,2,0,0,0,0,0,0,0,14,10,0,0,4,0,4,4,0,0,0,0,0,0,0,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,2,2,6,0,0,0,10,8,0,2,0,0,0,0,0,8,4,4,0,0,0,0,0,1,250,83.71,78.02,24.96,25.39,35.71,30,84.8,59.2,46.8,7.2,4.8,0,0,4.4,0,0.4,2.4,15.2,8.8,3.2,13.2,8.4,1.6,8,0.4,12.8,4.8,5.6,2,0,1.6,0.4,8,0.4,7.6,0.8,2.8,0.4,2.8,0,3.6,0,0.4,0.4,0,0,0,0,0,0,0,0,11.2,4.8,0.4,0,0,1.6,2,6.4,0,0,0,0,0,0,0,0,7.2,0.4,0,6.4,0.4,0,2.4,1.2,1.2,0,0,0,0,0,0.4,0.4,0,0.8,4.4,0,0,0.4,0,0,2.4,4.8,0,0.4,4.4,0,0,0,5.6,2,2.8,3.2,0,0,0,0,0,12.8,3.6,4,0,0,0,5.2,0
"10",10,"BIOL","1103","lower","L",2013,NA,"Miller",NA,"No",NA,"No",NA,0,0,0,1,0,NA,"Yes","10-Grading.txt","Yes","10-Attend.txt",NA,"informative",5,NA,NA,"informative",5,NA,NA,"Miller",NA,NA,20,0.013953488,0.271511628,-0.013461538,0.372435897,1,268,95.06,68.39,23.72,20.23,22.33,19.78,90.3,64.55,52.61,6.34,5.97,0.37,0,2.99,0,1.12,0.37,17.91,10.07,1.49,18.28,8.58,1.49,4.85,1.87,15.3,2.61,5.6,4.48,0,2.99,1.49,12.69,2.24,10.45,1.49,1.87,2.99,2.99,1.49,3.36,0,2.24,1.12,1.12,0.75,0.37,0,0,0,0,0,11.19,3.73,0,0.37,0.75,0,1.49,7.46,0,0,0,0,0,0,0,0,12.69,0,0,11.57,1.12,0,0.37,0.37,0.37,0,0,0,0,0,0,0,0.37,0.75,1.12,1.49,0,0.75,1.12,0,4.85,5.6,0.75,0.75,4.1,0,0,0,7.09,5.97,1.87,2.61,0,0,0,0,0,11.19,4.48,3.36,0,0,0.37,2.99,0,1,427,85.55,49.82,49.37,20.23,28.47,21.78,83.14,66.28,51.99,8.2,4.45,0,0,3.98,0,0,3.75,19.44,10.07,2.58,13.58,7.26,2.81,7.03,0.94,11.94,6.32,8.43,1.87,0,0.94,0.94,15.46,0.94,14.05,0.94,4.45,0,4.68,0,7.03,0,0,0,0,0,0,0,0,0,0,0,12.18,6.09,0.23,0.23,0,3.04,0.23,5.62,0,0,0,0,0,0,0,0,6.09,0,0.23,5.39,0.7,0,0,0,0,0,0,0,0,0,0,0.23,0,1.17,1.17,0.94,0,0,0,0,3.75,4.92,0,0.94,3.75,0.23,0,0,5.39,2.34,2.81,2.58,0,0,0,0,0,10.3,3.98,2.81,0,0,0,3.51,0
