Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
1-Attend.txt,1,60,80.96,98.75,39.59,20.23,15,20,91.67,66.67,51.67,13.33,10,0,0,10,0,0,3.33,10,3.33,0,20,5,3.33,6.67,0,18.33,1.67,3.33,1.67,0,1.67,0,13.33,0,13.33,1.67,3.33,1.67,3.33,0,5,0,0,0,0,0,0,0,0,0,0,0,15,3.33,3.33,3.33,0,0,0,11.67,0,0,0,0,6.67,0,0,6.67,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1.67,0,1.67,0,0,0,0,0,0,11.67,13.33,1.67,0,10,1.67,0,0,1.67,1.67,0,1.67,0,0,0,0,0,16.67,6.67,6.67,0,0,0,3.33,0
10-Attend.txt,1,427,85.55,49.82,49.37,20.23,35.58,21.78,83.14,66.28,51.99,8.2,4.45,0,0,3.98,0,0,3.75,19.44,10.07,2.58,13.58,7.26,2.81,7.03,0.94,11.94,6.32,8.43,1.87,0,0.94,0.94,15.46,0.94,14.05,0.94,4.45,0,4.68,0,7.03,0,0,0,0,0,0,0,0,0,0,0,12.18,6.09,0.23,0.23,0,3.04,0.23,5.62,0,0,0,0,0,0,0,0,6.09,0,0.23,5.39,0.7,0,0,0,0,0,0,0,0,0,0,0.23,0,1.17,1.17,0.94,0,0,0,0,3.75,4.92,0,0.94,3.75,0.23,0,0,5.39,2.34,2.81,2.58,0,0,0,0,0,10.3,3.98,2.81,0,0,0,3.51,0
100-Attend.txt,1,52,70.09,81.78,6.15,1,13,13.46,92.31,63.46,44.23,9.62,9.62,1.92,0,7.69,0,0,0,9.62,3.85,0,13.46,5.77,1.92,7.69,1.92,19.23,5.77,3.85,5.77,0,3.85,1.92,17.31,3.85,13.46,1.92,3.85,0,7.69,0,5.77,0,7.69,1.92,5.77,1.92,0,0,0,0,0,0,19.23,9.62,5.77,5.77,0,0,3.85,9.62,0,0,0,0,1.92,0,0,1.92,11.54,0,0,11.54,0,0,3.85,3.85,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.77,0,0,0,0,0,0,0,0,0,1.92,1.92,0,0,0,0,0,15.38,7.69,7.69,0,0,0,0,0
101-Attend.txt,1,25,74.19,40.06,3.34,20.23,8.33,24,92,52,44,0,0,0,0,0,0,0,0,8,0,0,16,12,0,8,4,20,0,4,0,0,0,0,20,8,12,0,0,8,4,8,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8,0,0,0,0,16,0,0,16,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,4,4,0,0,0,4,4,4,4,0,0,0,0,0,20,12,0,0,0,0,8,0
103-Attend.txt,1,22,81.89,99,50.45,20.23,22,27.27,81.82,68.18,50,9.09,9.09,0,0,9.09,0,0,0,13.64,4.55,0,18.18,13.64,0,4.55,0,22.73,9.09,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0,13.64,0,0,13.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55,18.18,0,0,13.64,4.55,0,0,4.55,0,0,9.09,0,0,0,0,0,18.18,4.55,4.55,0,0,0,9.09,0
105-Attend.txt,1,120,32.63,84.23,39.59,20.23,40,20,85.83,69.17,56.67,11.67,10,0,0.83,9.17,0,0,1.67,9.17,2.5,1.67,14.17,11.67,1.67,11.67,2.5,21.67,4.17,2.5,2.5,2.5,0,0,21.67,0,21.67,2.5,6.67,1.67,5,0,10,0,0,0,0,0,0,0,0,0,0,0,18.33,7.5,3.33,1.67,0,0.83,3.33,10.83,0,0,0,0,0,0,0,0,5,0,0,5,0,0,3.33,3.33,2.5,0,0,0,0,0,0,2.5,0,1.67,2.5,0.83,0,0,0,1.67,3.33,5,0.83,0,4.17,0,0,0,1.67,3.33,3.33,4.17,0,0,0,0,0,11.67,4.17,6.67,0,0,0,0.83,0
106-Attend.txt,1,29,5.28,99,43.66,20.23,14.5,10.34,89.66,86.21,65.52,20.69,20.69,3.45,0,17.24,0,0,0,6.9,3.45,0,13.79,24.14,0,10.34,0,37.93,10.34,0,3.45,3.45,0,0,17.24,0,17.24,6.9,3.45,3.45,3.45,0,3.45,0,0,0,0,0,0,0,0,0,0,0,20.69,3.45,3.45,0,0,0,0,17.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,0,0,0,0,0,3.45,0,0,0,0,0,0,0,6.9,0,10.34,10.34,0,0,0,0,0,10.34,6.9,3.45,0,0,0,0,0
107-Attend.txt,1,55,80,95.19,5.07,76.62,27.5,20,89.09,69.09,60,14.55,5.45,0,1.82,3.64,0,0,9.09,25.45,12.73,0,14.55,10.91,3.64,3.64,0,16.36,1.82,7.27,5.45,1.82,3.64,0,7.27,0,7.27,3.64,1.82,1.82,1.82,0,0,0,3.64,3.64,0,1.82,1.82,0,0,0,0,0,10.91,3.64,0,0,0,0,1.82,7.27,0,0,0,0,0,0,0,0,7.27,0,0,7.27,0,0,0,0,0,0,0,0,0,0,0,0,1.82,0,0,0,0,1.82,0,0,3.64,5.45,0,0,5.45,0,0,0,1.82,1.82,9.09,0,0,0,0,0,0,10.91,3.64,3.64,0,0,1.82,1.82,0
108-Attend.txt,1,142,76.47,28.44,78.86,20.23,14.2,27.46,85.21,64.08,47.89,4.93,4.23,0.7,0.7,0.7,0,1.41,0.7,12.68,6.34,2.82,13.38,9.86,2.11,8.45,1.41,15.49,9.15,9.15,1.41,0.7,0.7,0,12.68,0.7,11.97,1.41,2.11,0,4.23,0,8.45,0,1.41,0.7,0.7,0.7,0,0.7,0,0,0,0,10.56,3.52,0.7,0.7,0,0.7,0.7,7.04,0,0,0,0,2.11,0,0,2.11,14.08,0,0,11.97,2.11,0,1.41,1.41,0.7,0,0,0,0,0,0,0,0,2.11,0.7,1.41,0,0.7,0,0,3.52,5.63,0,1.41,4.93,0,0,0,5.63,2.11,2.82,4.23,0,0,0,0,0,16.9,7.04,2.82,0,0,0,7.04,0
109-Attend.txt,1,69,30.77,73.29,34.62,95.08,23,24.64,88.41,72.46,57.97,10.14,7.25,0,0,7.25,0,0,2.9,14.49,7.25,1.45,11.59,14.49,4.35,10.14,2.9,20.29,7.25,1.45,2.9,1.45,1.45,0,14.49,1.45,13.04,1.45,2.9,0,5.8,0,7.25,0,5.8,5.8,0,1.45,0,0,0,0,0,0,13.04,4.35,1.45,0,0,0,0,8.7,0,0,0,0,0,0,0,0,7.25,0,0,7.25,0,0,0,0,0,0,0,0,0,0,0,1.45,0,0,1.45,0,0,1.45,0,0,2.9,4.35,0,0,4.35,0,0,0,2.9,5.8,4.35,4.35,0,0,0,0,0,8.7,4.35,2.9,0,0,0,1.45,0
